summary_date,score,score_stay_active,score_move_every_hour,score_meet_daily_targets,score_training_frequency,score_training_volume,score_recovery_time,cal_active,cal_total,daily_movement,inactivity_alerts,steps,non_wear,rest,inactive,low,medium,high,average_met,met_min_inactive,met_min_low,met_min_medium,met_min_high,target_calories,target_km,target_miles,to_target_km,to_target_miles,day_start,day_end,class_5min,weight
1/3/24,69,84,100,25,40,73,100,166,1750,3436,0,4514,200,552,446,234,8,0,1.3125,12,138,26,0,350,9,5.592339,4.7,2.9204437,2024-01-03T04:00:00-08:00,2024-01-04T03:59:59-08:00,111111111111211211111211211111121111221121111221112222222220033322232233333333322232333322222222332233323332333423332233323332222222222233323322333222223333223233000000000000000000000000000000000000002222222221111211111112111221222222121111112222222222111111112111112111211111111111111111,485
1/4/24,75,96,100,25,71,84,100,441,2130,9642,0,11196,89,414,383,499,54,1,1.59375,15,282,166,6,350,9,5.592339,-2.2,-1.3670162,2024-01-04T04:00:00-08:00,2024-01-05T03:59:59-08:00,111111111111121111111112111111211212211222200000002243232232222233323333323333322333433344443343333333333333334333332233333323233232222232233333334333333333323333333333333333333222333323332333334323322330000000000222332222222221111111111112112223112111222222221112222121121111221112211111,
1/5/24,76,81,100,43,71,72,100,223,1877,4333,0,6151,513,228,334,353,12,0,1.4375,11,189,38,0,200,6,3.728226,-0.4,-0.2485484,2024-01-05T04:00:00-08:00,2024-01-06T03:59:59-08:00,212112221111112111111111111111211111111111112222222222000000000000323322322233333323223323333323333323333333333333333333333332222233333222323233323333333333333333322222222222222223222233343233333333000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
1/6/24,84,88,95,60,96,80,100,271,1866,6411,1,6479,395,365,417,217,45,1,1.40625,6,132,144,6,200,6,3.728226,-1.7,-1.0563307,2024-01-06T04:00:00-08:00,2024-01-07T03:59:59-08:00,000000000000000000000000000000000000000000000000000000000000000000000043233333223223333322343222221112111111111112111111221111222223443322223332223233443332233222221223234422222234332323232333433333300000003333322203422222222222222222222211111211111222221212122211111122111111112121111111,
1/7/24,75,59,78,60,71,73,100,176,1775,3953,2,4237,195,312,726,190,17,0,1.34375,10,122,56,0,200,6,3.728226,0.7,0.4349597,2024-01-07T04:00:00-08:00,2024-01-08T03:59:59-08:00,112212211111111111111111111111111111221221111211122000000000000000000000000000000000003332223322332333333223322222222222221111221132223333322223222232233232222222233222222333333332223432332232222233000223322222222222222222222222222222221222222222222222222122222223222332233222222222211111,
1/8/24,82,100,100,60,71,64,100,107,1674,1930,0,2771,720,295,253,163,8,1,1.28125,6,74,27,7,350,9,5.592339,6.2,3.8525002,2024-01-08T04:00:00-08:00,2024-01-09T03:59:59-08:00,111111211112121122200333222322233343232223333333333332232323223233232233333332233200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022322222221121111122111112212112221111112111122121122111221111111,
1/9/24,81,64,100,78,71,64,100,247,1872,5827,0,6115,63,472,631,248,25,1,1.40625,14,164,79,6,150,4,2.485484,-2.3,-1.4291533,2024-01-09T04:00:00-08:00,2024-01-10T03:59:59-08:00,111111111111111111111111111112211122221222220443333322223222233333342222223333322232222222233322233222223333222223323333332233222233323323332222222233432222332233232222223222222222222222222222343322222330000000000032221111332222221111112211111211111111111111221111111111122221111111111111,
1/10/24,82,78,100,78,71,60,100,192,1800,4306,0,4858,300,388,526,209,16,1,1.375,13,135,50,7,200,6,3.728226,0.3,0.1864113,2024-01-10T04:00:00-08:00,2024-01-11T03:59:59-08:00,111111111111111111111111112112222212222300000000033332233222300232223323432223322222222222322222233433333333322222222234222222222223322222232222222222222233222333332233222222333333233333320000000000000000000000000000000000002222222222111111111111111112111111112111111111111111000000000000,483
1/11/24,81,85,100,78,40,69,100,350,2027,7845,0,8919,263,288,484,362,42,1,1.53125,16,217,134,7,150,4,2.485484,-4.9,-3.0447179,2024-01-11T04:00:00-08:00,2024-01-12T03:59:59-08:00,000000000000000000000000000000000000000000034334332222323222233333333333322333332323222222233322233332323233223333333333323332333343333333322333222323223233343222222222332322222233334433223442200000223000022222233222223212222111112211111111122121111112112111111111111111122111112111111111,
1/12/24,80,97,100,60,40,79,100,330,1957,7350,0,8033,240,505,310,344,41,0,1.46875,13,204,135,0,350,9,5.592339,0.6,0.3728226,2024-01-12T04:00:00-08:00,2024-01-13T03:59:59-08:00,112111112211111211212112211111111221212111122222233442223333023334443222332232222333332344333333333333323333222223333322222233332223333333333322333233333333333333343233120000000000000000000000000000000000000000000000032223322211111111111211211111111111121112121112212111111111111111121111,
1/13/24,72,99,100,43,1,77,100,145,1621,3565,0,3101,133,851,331,100,25,0,1.1875,3,76,76,0,350,9,5.592339,5.2,3.2311292,2024-01-13T04:00:00-08:00,2024-01-14T03:59:59-08:00,122111111111111111111111111111212111111121211111111122122112111121221112111111111111112211111111111111112333443323332332333322222221233334422222221111111111111121111111111111111320000000000000000000000000222434022222222322221111111111111112111211111211212222222221111211111111222222221221,
1/14/24,77,90,100,43,40,93,100,293,1836,7439,0,6704,360,524,347,159,42,8,1.375,4,133,123,52,350,9,5.592339,1.5,0.9320565,2024-01-14T04:00:00-08:00,2024-01-15T03:59:59-08:00,222111112212222221111111111111111111111121112111111111111111221122321111112333430323333533332223333222121111111111111122111111111112233333333222223343332222342223433322354222200022333222222222000000022112222222222111112222211221120000000000000000000000000000000000000000000000000000000000,
1/15/24,75,84,100,43,40,82,100,132,1699,2952,0,3342,509,234,518,171,7,1,1.3125,6,101,26,8,350,9,5.592339,5.6,3.4796776,2024-01-15T04:00:00-08:00,2024-01-16T03:59:59-08:00,000000000000000000000000000000000000000000000000000000000000000000000000000000000032233323232323233233333322333223333233332221111111111123232233233222222222222332233332232222220000000000000000000211222222232222222221122122222122112222222111222222222111211111221221211222212222222222211111,
1/16/24,73,80,100,43,40,77,100,266,1920,5468,0,6691,175,368,503,372,22,0,1.4375,13,193,77,0,200,6,3.728226,-1.5,-0.9320565,2024-01-16T04:00:00-08:00,2024-01-17T03:59:59-08:00,211221211111111111111112321222330000000000000323433223323322222233333333233333332333322222222222433332333333333333333343332223333333322222222222233333333333333333322223233322332222234000000000000000000000222222223222222222212111122111121111211111112211212221111211221122222211112211111111,
1/17/24,73,88,100,43,40,65,100,126,1599,2626,0,3382,47,172,101,177,8,0,1.5625,6,99,30,0,350,9,5.592339,5.7,3.5418147,2024-01-17T04:00:00-08:00,2024-01-18T03:59:59-08:00,1.12E+100,480
